pathway	gene	human_genes
DNA Repair / MMR	Mlh1	MLH1
DNA Repair / MMR	Msh2	MSH2
DNA Repair / MMR	Msh6	MSH6
DNA Repair / MMR	Pms2	PMS2
DNA Repair / MMR	Mutyh	MUTYH
DNA Repair / MMR	Pole	POLE
DNA Repair / MMR	Pold1	POLD1
DNA Repair / MMR	Brca1	BRCA1
DNA Repair / MMR	Brca2	BRCA2
DNA Repair / MMR	Atm	ATM
DNA Repair / MMR	Atr	ATR
DNA Repair / MMR	Chek2	CHEK2
TP53 Pathway	Trp53	TP53
TP53 Pathway	Trp73	TP73
TP53 Pathway	Trp63	TP63
TP53 Pathway	Mdm2	MDM2
TP53 Pathway	Mdm4	MDM4
TP53 Pathway	Cdkn1a	CDKN1A
TP53 Pathway	Cdkn2a	NA
TP53 Pathway	Rb1	RB1
TP53 Pathway	Bax	BAX
TP53 Pathway	Bak1	BAK1
TP53 Pathway	Bcl2	BCL2
RAS/RAF/PI3K	Kras	KRAS
RAS/RAF/PI3K	Braf	BRAF
RAS/RAF/PI3K	Pik3ca	PIK3CA
RAS/RAF/PI3K	Pten	PTEN
RAS/RAF/PI3K	Akt1	AKT1
RAS/RAF/PI3K	Akt2	AKT2
RAS/RAF/PI3K	Mtor	MTOR
RAS/RAF/PI3K	Nrg1	NRG1
RAS/RAF/PI3K	Dock2	DOCK2
RAS/RAF/PI3K	Spp1	SPP1
TGF-beta / SMAD	Smad2	SMAD2
TGF-beta / SMAD	Smad3	SMAD3
TGF-beta / SMAD	Smad4	SMAD4
TGF-beta / SMAD	Tgfbr2	TGFBR2
Wnt Signaling	Apc	APC
Wnt Signaling	Ctnnb1	CTNNB1
Wnt Signaling	Axin1	AXIN1
Wnt Signaling	Axin2	AXIN2
Wnt Signaling	Rnf43	RNF43
Wnt Signaling	Znrf3	ZNRF3
Wnt Signaling	Lgr5	LGR5
Wnt Signaling	Dkk1	DKK1
Wnt Signaling	Dkk2	DKK2
Wnt Signaling	Dkk3	DKK3
Wnt Signaling	Dkk4	DKK4
Wnt Signaling	Wnt1	WNT1
Wnt Signaling	Wnt2	WNT2
Wnt Signaling	Wnt2b	WNT2B
Wnt Signaling	Wnt3	WNT3
Wnt Signaling	Wnt3a	WNT3A
Wnt Signaling	Wnt4	WNT4
Wnt Signaling	Wnt5a	WNT5A
Wnt Signaling	Wnt5b	WNT5B
Wnt Signaling	Wnt6	WNT6
Wnt Signaling	Wnt7a	WNT7A
Wnt Signaling	Wnt7b	WNT7B
Wnt Signaling	Wnt8a	WNT8A
Wnt Signaling	Wnt8b	WNT8B
Wnt Signaling	Wnt9a	WNT9A
Wnt Signaling	Wnt9b	WNT9B
Wnt Signaling	Wnt10a	WNT10A
Wnt Signaling	Wnt10b	WNT10B
Wnt Signaling	Wnt11	WNT11
Wnt Signaling	Wnt16	WNT16
Wnt Signaling	Fzd1	FZD1
Wnt Signaling	Fzd2	FZD2
Wnt Signaling	Fzd3	FZD3
Wnt Signaling	Fzd4	FZD4
Wnt Signaling	Fzd5	FZD5
Wnt Signaling	Fzd6	FZD6
Wnt Signaling	Fzd7	FZD7
Wnt Signaling	Fzd8	FZD8
Wnt Signaling	Fzd9	FZD9
Wnt Signaling	Fzd10	FZD10
Wnt Signaling	Lrp5	LRP5
Wnt Signaling	Lrp6	LRP6
Wnt Signaling	Gsk3b	GSK3B
Wnt Signaling	Csnk1a1	CSNK1A1
Wnt Signaling	Csnk1d	CSNK1D
Wnt Signaling	Csnk1e	TPTEP2-CSNK1E
Wnt Signaling	Tcf7	TCF7
Wnt Signaling	Tcf7l1	TCF7L1
Wnt Signaling	Tcf7l2	TCF7L2
Wnt Signaling	Lef1	LEF1
Wnt Signaling	Sfrp1	SFRP1
Wnt Signaling	Sfrp2	SFRP2
Wnt Signaling	Sfrp3	NA
Wnt Signaling	Sfrp4	SFRP4
Wnt Signaling	Sfrp5	SFRP5
Wnt Signaling	Rspo1	RSPO1
Wnt Signaling	Rspo2	RSPO2
Wnt Signaling	Rspo3	RSPO3
Wnt Signaling	Rspo4	RSPO4
Wnt Signaling	Tnks	TNKS
Wnt Signaling	Tnks2	TNKS2
Wnt Signaling	Myc	MYC
Wnt Signaling	Ccnd1	CCND1
Wnt Signaling	Mmp7	MMP7
Wnt Signaling	Cd44	CD44
Wnt Signaling	Fbxw7	FBXW7
Chromatin / Epigenetic	Arid1a	ARID1A
Chromatin / Epigenetic	Ezh2	EZH2
Chromatin / Epigenetic	Kmt2c	KMT2C
Chromatin / Epigenetic	Kmt2d	KMT2D
