gene_name	sample	cnval	status
Akt1	MD7032c	-1	Loss
Akt1	MD7039a	-1	Loss
Akt1	MD7033a	-1	Loss
Akt1	MD7035a	-1	Loss
Akt1	MD7035d	-1	Loss
Akt1	MD7032a	-1	Loss
Akt1	MD7035e	-1	Loss
Akt1	MD7038d	-1	Loss
Akt1	MD7028a	-1	Loss
Akt1	MD7040c	-1	Loss
Akt1	MD7037a	-1	Loss
Akt1	MD7034a	-1	Loss
Akt1	MD7031f	-1	Loss
Akt2	MD7032c	-1	Loss
Akt2	MD7037a	-1	Loss
Apc	MD7035a	-1	Loss
Apc	MD7031a	-1	Loss
Apc	MD7039a	-1	Loss
Apc	MD7030a	-1	Loss
Apc	MD7035d	-1	Loss
Arid1a	MD7032c	-1	Loss
Arid1a	MD7031a	-1	Loss
Atr	MD7036a	1	Gain
Axin1	MD7031f	-1	Loss
Axin1	MD7030a	-1	Loss
Axin1	MD7032c	-1	Loss
Axin1	MD7040c	-1	Loss
Axin1	MD7033a	-1	Loss
Axin1	MD7035e	-1	Loss
Bak1	MD7031f	-1	Loss
Bak1	MD7030a	-1	Loss
Bak1	MD7032c	-1	Loss
Bak1	MD7040c	-1	Loss
Bak1	MD7033a	-1	Loss
Bak1	MD7035e	-1	Loss
Bax	MD7031c	-1	Loss
Bax	MD7032c	-1	Loss
Bax	MD7040c	-1	Loss
Bax	MD7031f	-1	Loss
Bax	MD7031d	-1	Loss
Bax	MD7031e	-1	Loss
Braf	MD7031a	-1	Loss
Brca2	MD7031a	-1	Loss
Cacna1d	MD7031a	1	Gain
Ccnd1	MD7032c	-1	Loss
Cdh1	MD7031a	-1	Loss
Cdh1	MD7030a	-1	Loss
Cdk4	MD7032c	-1	Loss
Cdk4	MD7033a	-1	Loss
Cdk4	MD7031a	-1	Loss
Cdk4	MD7035a	-1	Loss
Cdk4	MD7035d	-1	Loss
Cdk6	MD7031a	-1	Loss
Cdkn1a	MD7035e	-1	Loss
Chek2	MD7040a	-1	Loss
Chek2	MD7032c	-1	Loss
Chek2	MD7031a	-1	Loss
Chek2	MD7037a	-1	Loss
Csmd2	MD7031a	-1	Loss
Csmd2	MD7032c	-1	Loss
Csmd2	MD7037c	-1	Loss
Csnk1a1	MD7035a	-1	Loss
Csnk1a1	MD7035d	-1	Loss
Csnk1a1	MD7030a	-1	Loss
Csnk1a1	MD7031a	-1	Loss
Csnk1a1	MD7039a	-1	Loss
Csnk1e	MD7032c	-1	Loss
Ctnnb1	MD7040c	3.08746284125034	Amplification
Ctnnb1	MD7032c	2.4594316186373	Amplification
Ctnnb1	MD7031d	3.8073549220576	Amplification
Ctnnb1	MD7035c	3.70043971814109	Amplification
Ctnnb1	MD7038c	3.64385618977472	Amplification
Ctnnb1	MD7040a	5.33985000288462	Amplification
Ctnnb1	MD7034a	3.32192809488736	Amplification
Ctnnb1	MD7037c	4.08746284125034	Amplification
Ctnnb1	MD7031c	3.8073549220576	Amplification
Ctnnb1	MD7038d	4.4594316186373	Amplification
Ctnnb1	MD7032a	2.90689059560852	Amplification
Ctnnb1	MD7031f	5.5077946401987	Amplification
Ctnnb1	MD7038a	4.28540221886225	Amplification
Ctnnb1	MD7036a	4.83289001416474	Amplification
Dkk4	MD7031a	-1	Loss
Dkk4	MD7030a	-1	Loss
Dnmt3a	MD7039a	-1	Loss
Dock3	MD7040a	1.58496250072116	Amplification
