gene_name	sample	cnval	status	sample.id	progression
APC	7499.P15A	-1.031125	Loss	P15A	P
AXIN2	8510.P10-A	0.938258333333334	Gain	P10-A	P
AXIN2	8510.P10-B	1.05909166666667	Gain	P10-B	P
BAK1	0624.P17-A	0.586275	Gain	P17-A	P
BAK1	0624.P17-B	0.644658333333333	Gain	P17-B	P
BAK1	0624.P17-C	0.664241666666667	Gain	P17-C	P
BAK1	0624.P17-G	0.609991666666667	Gain	P17-G	P
BAK1	0624.P17-D	0.622725	Gain	P17-D	P
BAX	9467.P14D-A	0.643508333333333	Gain	P14D-A	P
BCL2	2001_OP1-A.2001_OP1-A	-1.14129166666667	Loss	2001_OP1-A	P
BRAF	9467.P14G-A	0.646275	Gain	P14G-A	P
BRCA2	9351.P4-B	0.611075	Gain	P4-B	P
BRCA2	9351.P4-C	0.683425	Gain	P4-C	P
BRCA2	9351.P4-A	0.795275	Gain	P4-A	P
BRCA2	9351.P4-E	0.778025	Gain	P4-E	P
BRCA2	1002_BP2-A1.1002_BP2-A1	1.23734166666667	Gain	1002_BP2-A1	P
CCND1	6646.P12C-B	0.721275	Gain	P12C-B	P
CDK6	9467.P14G-A	0.646275	Gain	P14G-A	P
CDK6	0624.P17-F	0.618525	Gain	P17-F	P
CDKN1A	0624.P17-A	0.586275	Gain	P17-A	P
CDKN1A	0624.P17-B	0.644658333333333	Gain	P17-B	P
CDKN1A	0624.P17-C	0.664241666666667	Gain	P17-C	P
CDKN1A	0624.P17-G	0.609991666666667	Gain	P17-G	P
CDKN1A	0624.P17-D	0.622725	Gain	P17-D	P
CSMD2	9467.P14G-A	0.785175	Gain	P14G-A	P
CSMD2	2004_OP4-A2.2004_OP4-A2	0.633108333333333	Gain	2004_OP4-A2	P
CSMD3	6646.P12C-B	0.737775	Gain	P12C-B	P
CSMD3	6646.P12CB-2	0.706608333333333	Gain	P12CB-2	P
CSMD3	33105.NP41	0.657091666666667	Gain	NP41	NP
CSMD3	9351.P4-B	0.829075	Gain	P4-B	P
CSMD3	9351.P4-C	0.998325	Gain	P4-C	P
CSMD3	9351.P4-F	0.788958333333334	Gain	P4-F	P
CSMD3	9351.P4-D	0.684358333333333	Gain	P4-D	P
CSMD3	9351.P4-A	1.087175	Gain	P4-A	P
CSMD3	9351.P4-E	1.028825	Gain	P4-E	P
CSNK1D	8510.P10-A	0.760358333333333	Gain	P10-A	P
CSNK1D	8510.P10-B	0.822791666666667	Gain	P10-B	P
CTNNB1	0624.P17-F	0.817625	Gain	P17-F	P
CTNNB1	0624.P17-G	0.585491666666667	Gain	P17-G	P
CTNND2	1409.P5D-2	0.785275	Gain	P5D-2	P
CTNND2	7499.P15A	0.798975	Gain	P15A	P
CTNND2	1409.P5D-1	0.736025	Gain	P5D-1	P
CTNND2	3611.P9E	0.626475	Gain	P9E	P
CTNND2	9467.P14G-A	1.684075	Amplification	P14G-A	P
CTNND2	0624.P17-A	0.599075	Gain	P17-A	P
CTNND2	0624.P17-B	0.615758333333333	Gain	P17-B	P
CTNND2	0624.P17-G	0.607691666666667	Gain	P17-G	P
DKK4	33105.NP41	0.673491666666667	Gain	NP41	NP
DKK4	2001_OP1-A.2001_OP1-A	1.38950833333333	Gain	2001_OP1-A	P
EZH2	9467.P14G-A	0.646275	Gain	P14G-A	P
FGFR1	6646.P12C-B	0.633675	Gain	P12C-B	P
FGFR1	33105.NP41	1.68909166666667	Amplification	NP41	NP
FZD1	9467.P14G-A	0.646275	Gain	P14G-A	P
FZD1	0624.P17-F	0.618525	Gain	P17-F	P
FZD3	6646.P12C-B	0.633675	Gain	P12C-B	P
